"god_name_in_english","polis_context_name","n","geometry"
"Aphrodite","Delos",68,c(25.271111, 37.393333)
"Aphrodite","Athenai",18,c(23.7239851818, 37.9727465455)
"Aphrodite","Kamiros",10,c(27.921195, 36.336185)
"Aphrodite","Kos Meropis",8,c(27.2874243333, 36.8932686667)
"Aphrodite","Halasarna",6,c(27.138144, 36.777663)
"Apollo","Delphoi",898,c(22.5014055, 38.4819545)
"Apollo","Delos",279,c(25.271111, 37.393333)
"Apollo","Athenai",124,c(23.7239851818, 37.9727465455)
"Apollo","Kos Meropis",26,c(27.2874243333, 36.8932686667)
"Apollo","Epidauros",25,c(23.16015635, 37.6334625)
"Ares","Delos",7,c(25.271111, 37.393333)
"Ares","Athenai",6,c(23.7239851818, 37.9727465455)
"Ares","Gortyn",6,c(24.9469437222, 35.0627201667)
"Ares","Lato",6,c(25.6559423667, 35.1790001333)
"Ares","Delphoi",3,c(22.5014055, 38.4819545)
"Ares","Hierpytna",3,c(25.7387505, 35.0095285)
"Ares","Rhodos",3,c(28.227611, 36.443113)
"Artemis","Athenai",111,c(23.7239851818, 37.9727465455)
"Artemis","Delos",111,c(25.271111, 37.393333)
"Artemis","Lindos",59,c(28.0881777, 36.0913239)
"Artemis","Gonnos",24,c(22.498138, 39.858934)
"Artemis","Chaironeia",16,c(22.841628, 38.494419)
"Artemis","Thespiai",16,c(23.1528615, 38.295831)
"Athena","Lindos",139,c(28.0881777, 28.116667, 36.0913239, 36.116667)
"Athena","Athenai",93,c(23.7239851818, 37.9727465455)
"Athena","Delos",65,c(25.271111, 37.393333)
"Athena","Delphoi",65,c(22.5014055, 38.4819545)
"Athena","Pergamon",45,c(27.1839985, 39.1317455)
"Demeter","Delos",119,c(25.271111, 37.393333)
"Demeter","Athenai",103,c(23.68333, 23.7239851818, 37.98333, 37.9727465455)
"Demeter","Eleusis",56,c(23.5414976667, 38.0441353333)
"Demeter","Delphoi",51,c(22.5014055, 38.4819545)
"Demeter","Kos Meropis",17,c(27.2874243333, 36.8932686667)
"Dionysus","Athenai",59,c(23.7239851818, 37.9727465455)
"Dionysus","Delos",47,c(25.271111, 37.393333)
"Dionysus","Delphoi",35,c(22.5014055, 38.4819545)
"Dionysus","Lindos",21,c(28.0881777, 36.0913239)
"Dionysus","Kos Meropis",16,c(27.2874243333, 36.8932686667)
"Hephaestus","Athenai",4,c(23.7239851818, 37.9727465455)
"Hephaestus","Delos",2,c(25.271111, 37.393333)
"Hephaestus","Delphoi",2,c(22.5014055, 38.4819545)
"Hephaestus","Thespiai",2,c(23.1528615, 38.295831)
"Hephaestus","Dyme",1,c(21.551425, 38.144625)
"Hephaestus","Eleusis",1,c(23.5414976667, 38.0441353333)
"Hephaestus","Myrina",1,c(26.985537, 38.840097)
"Hephaestus","Pagasai",1,c(22.9223395, 39.343875)
"Hephaestus","Pergamon",1,c(27.1839985, 39.1317455)
"Hephaestus","Samos",1,c(26.9426018, 37.6899431)
"Hephaestus","Sinope",1,c(35.143037, 42.025776)
"Hera","Samos",63,c(26.909719, 26.9426018, 26.944483, 37.709507, 37.6899431, 37.68825)
"Hera","Delos",24,c(25.271111, 37.393333)
"Hera","Athenai",9,c(23.7239851818, 37.9727465455)
"Hera","Delphoi",7,c(22.5014055, 38.4819545)
"Hera","Arkesine",6,c(25.8117355, 36.7993565)
"Hera","Kos Meropis",6,c(27.2874243333, 36.8932686667)
"Hermes","Delos",98,c(25.271111, 37.393333)
"Hermes","Athenai",53,c(23.7239851818, 37.9727465455)
"Hermes","Delphoi",23,c(22.5014055, 38.4819545)
"Hermes","Kos Meropis",22,c(27.2874243333, 36.8932686667)
"Hermes","Thespiai",14,c(23.1528615, 38.295831)
"Poseidon","Delos",39,c(25.271111, 37.393333)
"Poseidon","Lindos",24,c(28.0881777, 36.0913239)
"Poseidon","Athenai",22,c(23.7239851818, 37.9727465455)
"Poseidon","Korinthos",20,c(22.879189, 37.906033)
"Poseidon","Delphoi",19,c(22.5014055, 38.4819545)
"Zeus","Athenai",183,c(23.7239851818, 37.9727465455)
"Zeus","Lindos",152,c(28.0881777, 36.0913239)
"Zeus","Delos",128,c(25.271111, 37.393333)
"Zeus","Pisa",84,c(21.630049, 37.637807)
"Zeus","Dodone",64,c(20.7893679667, 39.5463850667)
